"전라북도","단순노무 종사자",471,229,477,229,455,237,501,265,517,266,411,250,376,224,357,220,371,212
"전라북도","무직, 가사, 학생",653,1592,691,1592,647,1478,462,1198,426,1115,426,945,485,1001,440,893,427,850
"전라북도","기타 및 미상",81,58,132,81,143,120,199,172,344,278,434,351,321,249,306,229,313,247
"전라남도","계",4033,3318,3965,3324,4008,3393,4170,3530,4130,3569,3907,3314,3776,3204,3565,3058,3517,3023
"전라남도","관리자",261,56,282,64,282,75,313,69,282,66,272,58,233,80,237,78,286,77
"전라남도","전문가 및 관련 종사자",388,291,413,339,413,358,431,383,454,367,398,359,419,368,414,373,396,339
"전라남도","사무 종사자",311,286,303,270,330,299,356,366,353,380,304,413,289,370,279,353,292,380
"전라남도","서비스 및 판매 종사자",691,758,610,787,690,769,771,1064,740,1026,720,973,655,897,606,869,572,845
"전라남도","농림어업 숙련 종사자",468,85,479,97,488,103,484,104,480,121,423,83,391,94,414,102,374,100
"전라남도","기능원 및 관련 기능 종사자",480,50,447,56,407,44,565,81,584,66,512,64,460,81,440,67,397,64
"전라남도","장치,기계 조작 및 조립 종사자",258,12,304,18,262,16,214,9,165,8,168,8,126,3,107,10,134,7
"전라남도","단순노무 종사자",476,198,440,181,428,185,468,208,470,220,410,187,379,189,365,205,323,165
"전라남도","무직, 가사, 학생",614,1529,585,1437,602,1479,405,1135,395,1171,353,965,387,858,318,768,297,750
"전라남도","기타 및 미상",86,53,102,75,106,65,163,111,207,144,347,204,437,264,385,233,446,296
"경상북도","계",5348,4891,5375,4845,5505,5010,5620,5003,5635,5039,5553,5038,5097,4673,4911,4394,4870,4409
"경상북도","관리자",368,95,404,104,430,121,405,110,401,95,397,86,366,81,388,103,378,90
"경상북도","전문가 및 관련 종사자",499,392,496,437,524,444,613,501,577,548,576,544,556,532,525,488,519,476
"경상북도","사무 종사자",484,393,427,403,424,427,473,468,482,514,469,536,428,512,406,462,422,503
"경상북도","서비스 및 판매 종사자",951,1039,974,1080,946,1175,961,1250,1043,1274,1056,1329,968,1236,932,1171,866,1201
"경상북도","농림어업 숙련 종사자",431,75,442,84,468,101,450,106,436,86,453,112,385,92,390,101,357,97
"경상북도","기능원 및 관련 기능 종사자",536,129,541,122,497,120,788,191,750,176,672,135,671,156,569,117,642,130
"경상북도","장치,기계 조작 및 조립 종사자",399,79,407,71,459,86,258,53,213,52,229,37,220,32,197,22,237,43
"경상북도","단순노무 종사자",635,346,617,332,717,351,781,418,682,380,719,406,623,374,596,371,548,370
"경상북도","무직, 가사, 학생",928,2268,883,2091,829,1997,573,1609,608,1548,648,1597,566,1426,518,1266,475,1193
"경상북도","기타 및 미상",117,75,184,121,211,188,318,297,443,366,334,256,314,232,390,293,426,306
"경상남도","계",7368,6870,7486,7004,7355,6893,7575,7103,7827,7432,7368,6927,7034,6630,6530,6260,6471,6243
"경상남도","관리자",504,108,610,131,644,162,563,124,567,120,448,113,464,105,450,110,464,127
"경상남도","전문가 및 관련 종사자",744,570,821,653,769,677,721,731,757,754,643,659,602,655,648,680,642,610
"경상남도","사무 종사자",640,579,623,628,532,563,609,650,648,677,552,595,558,602,626,629,592,708
"경상남도","서비스 및 판매 종사자",1185,1497,1186,1553,1101,1469,1264,1734,1246,1849,1148,1543,1101,1395,999,1417,1052,1506
"경상남도","농림어업 숙련 종사자",332,65,349,81,308,66,383,79,370,96,335,75,290,75,263,72,269,80
"경상남도","기능원 및 관련 기능 종사자",962,146,882,142,751,131,939,167,981,177,890,187,717,134,718,139,708,148
"경상남도","장치,기계 조작 및 조립 종사자",782,90,701,91,672,113,432,79,338,61,310,51,311,47,233,46,245,48
"경상남도","단순노무 종사자",864,487,821,478,866,490,895,570,904,537,791,482,716,441,589,419,689,425
